indoorHumid,indoorTemp,outsideHumid,outsideTemp,boxHumid,boxTemp,cpuTemp,cpuFreq,storageUsed,time
81.6,13.3,85.1,11.6,76.7,13.2,18.0,600.0,2.87,01:11:12
81.6,13.3,85.1,11.6,76.8,13.3,18.0,600.0,2.87,01:11:19
81.6,13.3,85.1,11.6,76.8,13.2,18.49,600.0,2.87,01:11:26
81.6,13.3,85.2,11.6,76.8,13.2,18.49,600.0,2.87,01:11:32
81.6,13.3,85.2,11.6,76.8,13.2,19.47,600.0,2.87,01:11:41
81.7,13.3,87.4,11.4,77.3,13.3,17.03,600.0,2.87,01:11:11
81.7,13.2,87.7,11.2,77.3,13.1,17.52,700.0,2.87,01:11:18
81.7,13.3,87.7,11.2,77.4,13.2,17.03,600.0,2.87,01:11:24
81.7,13.2,87.7,11.2,77.3,13.1,17.52,1000.0,2.87,01:11:31
81.7,13.2,87.7,11.2,77.4,13.1,17.52,600.0,2.87,01:42:17
81.7,13.2,87.7,11.2,77.4,13.2,18.0,600.0,2.87,01:42:24
81.8,13.2,87.8,11.2,77.4,13.1,18.98,600.0,2.87,01:42:30
81.7,13.2,87.7,11.2,77.4,13.1,19.47,600.0,2.87,01:42:37
81.7,13.2,87.7,11.2,77.4,13.1,18.49,600.0,2.87,01:42:43
81.7,13.2,87.7,11.2,77.4,13.1,19.47,600.0,2.87,01:42:50
81.7,13.2,87.7,11.2,77.4,13.1,20.44,600.0,2.87,01:42:57
81.7,13.2,87.7,11.2,77.5,13.1,19.47,600.0,2.87,01:43:03
81.7,13.2,87.7,11.2,77.5,13.1,19.95,600.0,2.87,01:43:10
81.8,13.2,87.7,11.2,77.5,13.1,19.95,600.0,2.87,01:43:19
81.7,13.2,87.7,11.2,77.5,13.1,19.95,600.0,2.87,01:43:26
81.7,13.2,87.7,11.1,77.6,13.1,19.47,600.0,2.87,01:43:32
81.7,13.2,87.8,11.1,77.7,13.1,19.47,600.0,2.87,01:43:39
81.7,13.2,87.7,11.1,77.7,13.1,19.95,600.0,2.87,01:43:48
25.8,800.0,2.87,01:43:57
83.9,14.1,79.1,13.7,86.6,14.9,25.8,600.0,2.87,01:44:07
83.9,14.1,78.6,13.7,86.5,14.9,25.8,600.0,2.87,01:44:13
83.9,14.1,78.3,13.7,86.5,14.9,26.28,600.0,2.87,01:44:20
83.9,14.1,78.2,13.8,86.6,14.9,26.28,600.0,2.87,06:21:59
83.9,14.1,78.2,13.8,86.5,14.9,26.77,600.0,2.87,06:22:06
83.9,14.1,78.4,13.8,86.6,14.9,25.31,600.0,2.87,06:22:12
84.0,14.1,78.6,13.8,86.6,14.9,26.28,600.0,2.87,06:22:19
84.0,14.1,78.7,13.8,86.6,14.9,26.28,600.0,2.87,06:22:25
83.9,14.1,78.8,13.8,86.6,14.9,27.26,600.0,2.87,06:22:32
83.9,14.1,78.8,13.8,86.7,15.0,27.26,600.0,2.87,06:22:39
84.0,14.1,78.7,13.8,86.7,14.9,27.26,600.0,2.87,06:22:45
84.0,14.1,78.8,13.8,86.7,14.9,27.75,600.0,2.87,06:22:52
84.0,14.1,78.6,13.8,86.7,14.9,28.23,600.0,2.87,06:22:58
84.0,14.1,78.5,13.8,86.8,14.9,27.26,600.0,2.87,06:23:05
84.0,14.1,78.4,13.8,86.8,14.9,27.75,600.0,2.87,06:23:12
84.0,14.1,78.5,13.8,86.8,14.9,28.23,600.0,2.87,06:23:18
