indoorHumid,indoorTemp,outsideHumid,outsideTemp,boxHumid,boxTemp,cpuTemp,cpuFreq,storageUsed,time
91.1,17.6,86.4,17.9,99.9,18.0,30.67,1800.0,2.88,09:40:58
91.3,17.6,86.8,18.1,99.9,18.0,30.67,600.0,2.88,09:41:22
91.4,17.6,87.0,18.2,99.9,18.0,30.67,600.0,2.88,09:41:31
91.4,17.6,87.0,18.2,99.9,18.0,30.18,600.0,2.88,09:41:43
91.4,17.7,87.2,18.2,99.9,18.0,30.18,600.0,2.88,09:41:49
91.4,17.7,87.2,18.3,99.9,18.0,31.15,600.0,2.88,09:41:56
91.5,17.7,87.3,18.4,99.9,18.0,30.18,600.0,2.88,09:42:02
91.5,17.7,87.4,18.5,99.9,18.0,30.67,600.0,2.88,09:42:11
91.5,17.7,87.5,18.6,99.9,18.0,29.69,600.0,2.88,09:42:18
91.6,17.8,87.6,18.7,99.9,18.0,30.18,600.0,2.88,09:42:25
91.5,17.8,87.6,18.7,99.9,18.1,31.64,600.0,2.88,09:42:31
91.6,17.8,87.8,18.8,99.9,18.1,29.69,600.0,2.88,09:42:38
91.6,17.8,87.9,18.9,99.9,18.1,30.18,600.0,2.88,09:42:44
91.6,17.8,87.9,19.0,99.9,18.1,30.67,600.0,2.88,09:42:54
91.6,17.8,87.7,19.2,99.9,18.1,30.67,600.0,2.88,09:43:00
91.7,17.8,87.6,19.2,99.9,18.1,30.67,600.0,2.88,09:43:09
91.7,17.8,87.4,19.3,99.9,18.1,31.15,600.0,2.88,09:43:16
91.7,17.8,87.0,19.4,99.9,18.1,30.18,600.0,2.88,09:43:25
91.7,17.8,86.4,19.5,99.9,18.1,29.69,600.0,2.88,09:43:34
91.7,17.8,86.4,19.6,99.9,18.1,29.69,600.0,2.88,09:43:43
91.8,17.9,86.2,19.7,99.9,18.1,30.67,600.0,2.88,09:43:50
91.8,17.9,85.9,19.8,99.9,18.1,30.18,600.0,2.88,09:43:56
91.8,17.9,85.8,19.9,99.9,18.2,29.69,600.0,2.88,09:44:03
91.8,17.9,85.3,20.0,99.9,18.2,30.18,600.0,2.88,09:44:09
91.8,17.9,84.8,20.0,99.9,18.2,31.15,600.0,2.88,09:44:16
91.8,17.9,84.1,20.1,99.9,18.2,31.15,600.0,2.88,09:44:23
91.9,18.0,83.5,20.1,99.9,18.2,31.15,600.0,2.88,09:44:29
91.9,18.0,82.9,20.3,99.9,18.2,30.18,600.0,2.88,09:44:36
91.9,18.0,81.9,20.3,99.9,18.2,31.64,600.0,2.88,09:44:42
91.9,18.0,81.2,20.4,99.9,18.2,31.64,600.0,2.88,09:44:49
91.9,18.0,81.2,20.5,99.9,18.2,31.15,600.0,2.88,09:44:56
91.9,18.0,80.9,20.5,99.9,18.2,30.67,600.0,2.88,09:45:02
91.9,18.0,80.6,20.6,99.9,18.2,31.64,600.0,2.88,09:45:09
92.0,18.0,80.6,20.7,99.9,18.2,29.69,600.0,2.88,09:45:15
91.9,18.0,81.1,20.7,99.9,18.2,31.64,600.0,2.88,09:45:22
92.0,18.0,81.4,20.8,99.9,18.2,30.18,600.0,2.88,09:45:29
92.0,18.0,81.8,20.9,99.9,18.3,30.67,600.0,2.88,09:45:35
92.0,18.0,81.9,21.0,99.9,18.3,31.15,600.0,2.88,09:45:42
92.0,18.0,81.4,21.1,99.9,18.3,30.67,600.0,2.88,09:45:48
92.0,18.1,80.0,21.1,99.9,18.3,30.67,600.0,2.88,09:45:55
92.0,18.1,78.7,21.2,99.9,18.3,31.15,600.0,2.88,09:46:01
92.0,18.1,78.2,21.3,99.9,18.3,30.18,600.0,2.88,09:46:08
92.1,18.1,78.0,21.4,99.9,18.3,30.18,600.0,2.88,09:46:15
92.1,18.1,78.3,21.5,99.9,18.3,31.15,600.0,2.88,09:46:21
92.1,18.1,79.0,21.5,99.9,18.3,30.18,600.0,2.88,09:46:28
92.1,18.2,79.3,21.6,99.9,18.3,30.67,600.0,2.88,09:46:34
92.1,18.2,79.2,21.7,99.9,18.3,30.67,600.0,2.88,09:46:41
92.1,18.2,78.8,21.7,99.9,18.4,31.15,600.0,2.88,09:46:48
92.2,18.2,78.3,21.9,99.9,18.4,30.67,600.0,2.88,09:46:54
92.1,18.2,77.0,21.9,99.9,18.4,30.67,600.0,2.88,09:47:03
92.2,18.2,76.4,22.0,99.9,18.4,31.15,600.0,2.88,09:47:10
92.2,18.3,76.3,22.1,99.9,18.4,31.15,600.0,2.88,09:47:16
92.2,18.3,76.4,22.2,99.9,18.4,31.15,600.0,2.88,09:47:26
92.2,18.3,75.6,22.3,99.9,18.5,30.18,600.0,2.88,09:47:32
92.2,18.3,75.7,22.4,99.9,18.4,31.64,600.0,2.88,09:47:39
92.2,18.3,73.8,22.5,99.9,18.5,31.15,600.0,2.88,09:47:48
92.3,18.3,72.7,22.5,99.9,18.5,31.15,600.0,2.88,09:47:54
92.3,18.3,71.4,22.6,99.9,18.5,31.15,600.0,2.88,09:48:01
92.3,18.4,70.4,22.6,99.9,18.5,30.18,600.0,2.88,09:48:08
92.3,18.4,70.7,22.6,99.9,18.5,30.67,600.0,2.88,09:48:14
92.3,18.4,70.8,22.7,99.9,18.5,30.67,600.0,2.88,09:48:23
92.3,18.4,71.2,22.8,99.9,18.5,31.15,600.0,2.88,09:48:32
92.3,18.4,73.6,22.8,99.9,18.6,30.18,600.0,2.88,09:48:39
92.3,18.4,74.2,22.9,99.9,18.6,29.69,600.0,2.88,09:48:48
92.4,18.5,74.3,22.9,99.9,18.6,30.67,600.0,2.88,09:48:55
92.4,18.5,74.5,23.0,99.9,18.6,30.67,600.0,2.88,09:49:01
92.4,18.5,74.6,23.0,99.9,18.6,29.69,600.0,2.88,09:49:08
92.4,18.5,74.4,23.1,99.9,18.6,31.15,600.0,2.88,09:49:14
92.4,18.5,74.3,23.2,99.9,18.6,31.15,600.0,2.88,09:49:21
92.4,18.6,74.7,23.3,99.9,18.7,31.15,600.0,2.88,09:49:28
92.5,18.6,74.8,23.4,99.9,18.7,31.64,600.0,2.88,09:49:34
92.5,18.6,74.3,23.4,99.9,18.7,32.13,600.0,2.88,09:49:41
92.5,18.6,74.2,23.5,99.9,18.7,31.15,600.0,2.88,09:49:47
92.5,18.6,73.2,23.6,99.9,18.7,31.15,600.0,2.88,09:49:54
92.5,18.6,72.5,23.6,99.9,18.7,31.64,600.0,2.88,09:50:01
92.5,18.6,72.0,23.8,99.9,18.7,31.15,600.0,2.88,09:50:07
92.5,18.7,72.2,23.8,99.9,18.7,31.64,600.0,2.88,09:50:14
92.6,18.7,71.5,23.9,99.9,18.8,31.15,600.0,2.88,09:50:20
92.5,18.7,70.9,24.0,99.9,18.8,31.15,600.0,2.88,09:50:27
92.5,18.7,69.3,24.0,99.9,18.8,32.13,600.0,2.88,09:50:34
92.5,18.7,69.7,24.1,99.9,18.8,31.64,600.0,2.88,09:50:40
92.5,18.8,69.5,24.2,99.9,18.8,32.62,600.0,2.88,09:50:47
92.6,18.8,70.5,24.2,99.9,18.8,32.13,600.0,2.88,09:50:53
92.5,18.8,71.4,24.3,99.9,18.8,30.67,600.0,2.88,09:51:00
92.6,18.8,71.1,24.4,99.9,18.8,31.15,600.0,2.88,09:51:06
92.6,18.8,71.3,24.4,99.9,18.9,32.13,600.0,2.88,09:51:13
92.6,18.8,70.7,24.5,99.9,18.9,30.67,600.0,2.88,09:51:20
92.6,18.9,70.0,24.6,99.9,18.9,31.64,600.0,2.88,09:51:26
92.6,18.8,67.9,24.6,99.9,18.9,32.13,600.0,2.88,09:51:33
92.6,18.9,66.9,24.7,99.9,18.9,31.15,600.0,2.88,09:51:39
92.6,18.9,67.7,24.7,99.9,18.9,31.15,600.0,2.88,09:51:46
92.7,18.9,67.7,24.8,99.9,18.9,31.64,600.0,2.88,09:51:53
92.6,18.9,69.0,24.8,99.9,19.0,32.13,600.0,2.88,09:51:59
92.7,18.9,69.7,24.9,99.9,19.0,32.62,600.0,2.88,09:52:06
92.7,19.0,69.3,25.0,99.9,19.0,31.64,600.0,2.88,09:52:12
92.7,19.0,68.4,25.0,99.9,19.0,31.64,600.0,2.88,09:52:19
92.7,19.0,67.8,25.0,99.9,19.0,31.15,600.0,2.88,09:52:31
92.7,19.0,67.0,25.1,99.9,19.0,31.15,600.0,2.88,09:52:37
92.7,19.0,67.8,25.2,99.9,19.0,31.15,600.0,2.88,09:52:46
92.7,19.1,68.0,25.3,99.9,19.1,31.15,600.0,2.88,09:52:53
92.7,19.1,67.7,25.3,99.9,19.1,31.64,600.0,2.88,09:52:59
92.8,19.1,68.0,25.4,99.9,19.1,30.67,600.0,2.88,09:53:06
92.7,19.1,69.0,25.5,99.9,19.1,31.15,600.0,2.88,09:53:13
92.7,19.1,68.7,25.5,99.9,19.1,31.64,600.0,2.88,09:53:19
92.7,19.2,68.6,25.6,99.9,19.1,31.15,600.0,2.88,09:53:26
92.8,19.2,68.9,25.6,99.9,19.1,32.13,600.0,2.88,09:53:32
92.8,19.2,69.4,25.6,99.9,19.1,32.13,600.0,2.88,09:53:39
92.8,19.2,69.0,25.7,99.9,19.2,30.67,600.0,2.88,09:53:46
92.8,19.2,67.2,25.8,99.9,19.2,31.15,600.0,2.88,09:53:52
92.8,19.2,67.2,25.8,99.9,19.2,31.64,600.0,2.88,09:54:01
92.8,19.2,66.8,25.9,99.9,19.2,31.15,600.0,2.88,09:54:08
92.8,19.3,66.5,26.0,99.9,19.2,32.13,600.0,2.88,09:54:14
92.8,19.3,65.7,26.0,99.9,19.2,31.15,600.0,2.88,09:54:21
92.8,19.3,66.9,26.0,99.9,19.3,31.15,600.0,2.88,09:54:28
92.8,19.3,66.5,26.1,99.9,19.3,30.18,600.0,2.88,09:54:37
92.8,19.3,66.2,26.1,99.9,19.3,31.64,600.0,2.88,09:54:43
92.8,19.3,65.8,26.2,99.9,19.3,31.15,600.0,2.88,09:54:50
92.8,19.3,65.1,26.2,99.9,19.3,31.64,600.0,2.88,09:54:56
92.8,19.3,66.0,26.3,99.9,19.3,31.15,600.0,2.88,09:55:03
92.8,19.3,66.5,26.3,99.9,19.4,31.64,600.0,2.88,09:55:10
92.8,19.4,66.9,26.4,99.9,19.3,31.64,600.0,2.88,09:55:16
92.9,19.4,66.0,26.4,99.9,19.4,32.13,600.0,2.88,09:55:23
92.8,19.4,65.5,26.4,99.9,19.4,31.15,600.0,2.88,09:55:29
92.9,19.4,65.0,26.4,99.9,19.4,32.13,600.0,2.88,09:55:36
92.9,19.4,64.8,26.4,99.9,19.4,31.64,600.0,2.88,09:55:43
92.9,19.4,63.9,26.5,99.9,19.4,31.64,600.0,2.88,09:55:49
92.9,19.4,66.1,26.5,99.9,19.5,32.13,600.0,2.88,09:55:58
92.9,19.4,64.5,26.5,99.9,19.5,32.13,600.0,2.88,09:56:05
92.8,19.4,63.6,26.5,99.9,19.5,31.64,600.0,2.88,09:56:11
92.9,19.5,63.0,26.5,99.9,19.5,31.64,600.0,2.88,09:56:18
92.8,19.5,63.1,26.5,99.9,19.5,31.15,600.0,2.88,09:56:25
92.8,19.5,64.1,26.5,99.9,19.5,31.64,600.0,2.88,09:56:31
92.8,19.5,64.6,26.5,99.9,19.5,31.64,600.0,2.88,09:56:38
92.9,19.5,65.0,26.5,99.9,19.5,31.64,600.0,2.88,09:56:44
92.8,19.5,63.8,26.5,99.9,19.5,31.64,600.0,2.88,09:56:54
92.8,19.5,63.3,26.5,99.9,19.5,31.15,600.0,2.88,09:57:00
92.8,19.5,63.7,26.5,99.9,19.5,31.64,600.0,2.88,09:57:07
92.9,19.5,63.2,26.5,99.9,19.5,31.64,600.0,2.88,09:57:13
92.8,19.5,62.6,26.5,99.9,19.5,32.13,600.0,2.88,09:57:20
92.8,19.5,61.7,26.5,99.9,19.5,31.64,600.0,2.88,09:57:26
92.8,19.5,61.9,26.5,99.9,19.6,31.64,600.0,2.88,09:57:36
92.8,19.5,62.3,26.5,99.9,19.6,31.64,600.0,2.88,09:57:42
92.8,19.5,62.9,26.4,99.9,19.6,31.64,700.0,2.88,09:57:49
92.8,19.5,62.3,26.4,99.9,19.6,31.64,600.0,2.88,09:57:55
92.8,19.5,61.7,26.4,99.9,19.7,31.64,600.0,2.88,09:58:02
92.8,19.5,61.4,26.4,99.9,19.7,31.64,600.0,2.88,09:58:08
92.8,19.5,61.3,26.4,99.9,19.7,31.64,600.0,2.88,09:58:15
92.9,19.5,61.7,26.4,99.9,19.7,32.13,600.0,2.88,09:58:22
92.8,19.5,62.8,26.3,99.9,19.7,32.13,600.0,2.88,09:58:28
92.8,19.5,62.3,26.2,99.9,19.7,32.13,600.0,2.88,09:58:35
92.8,19.5,62.1,26.2,99.9,19.7,32.13,600.0,2.88,09:58:41
92.8,19.5,63.1,26.2,99.9,19.7,31.64,600.0,2.88,09:58:48
92.8,19.5,63.4,26.1,99.9,19.7,32.13,600.0,2.88,09:58:55
92.8,19.5,63.3,26.1,99.9,19.7,32.13,600.0,2.88,09:59:01
92.8,19.5,62.4,26.1,99.9,19.7,32.13,600.0,2.88,09:59:08
92.8,19.5,61.7,26.0,99.9,19.7,32.13,600.0,2.88,09:59:14
92.8,19.5,63.0,26.0,99.9,19.7,32.13,600.0,2.88,09:59:21
92.8,19.5,63.3,26.0,99.9,19.7,32.13,600.0,2.88,09:59:28
92.8,19.5,63.3,25.9,99.9,19.7,32.62,600.0,2.88,09:59:34
92.8,19.6,63.7,25.8,99.9,19.7,31.64,600.0,2.88,09:59:41
92.7,19.5,63.1,25.8,99.9,19.7,32.13,600.0,2.88,09:59:47
92.7,19.5,63.2,25.8,99.9,19.7,32.13,600.0,2.88,09:59:54
92.8,19.6,63.5,25.7,99.9,19.8,32.62,600.0,2.88,10:00:00
92.7,19.5,63.7,25.6,99.9,19.8,32.13,600.0,2.88,10:00:07
92.7,19.5,63.5,25.6,99.9,19.8,31.64,600.0,2.88,10:00:14
92.7,19.5,63.6,25.6,99.9,19.9,31.64,600.0,2.88,10:00:20
92.7,19.5,64.3,25.5,99.9,19.9,32.13,600.0,2.88,10:00:27
92.7,19.5,64.6,25.5,99.9,19.8,32.13,600.0,2.88,10:00:33
92.7,19.5,64.3,25.4,99.9,19.9,32.62,600.0,2.88,10:00:40
92.7,19.6,64.4,25.4,99.9,19.9,31.64,600.0,2.88,10:00:47
92.7,19.5,64.0,25.4,99.9,19.9,32.13,600.0,2.88,10:00:53
92.7,19.5,63.5,25.3,99.9,19.9,31.15,600.0,2.88,10:01:00
92.7,19.5,64.1,25.2,99.9,19.9,31.64,600.0,2.88,10:01:06
92.7,19.6,64.3,25.2,99.9,19.9,31.64,600.0,2.88,10:01:13
92.7,19.5,64.1,25.2,99.9,19.9,31.15,600.0,2.88,10:01:20
92.7,19.5,63.9,25.1,99.9,19.9,31.64,600.0,2.88,10:01:26
92.7,19.5,63.7,25.0,99.9,19.9,31.64,600.0,2.88,10:01:33
92.7,19.6,64.1,25.0,99.9,19.9,31.15,600.0,2.88,10:01:39
92.6,19.5,64.8,25.0,99.9,19.9,32.13,600.0,2.88,10:01:46
92.6,19.6,64.4,25.0,99.9,19.9,31.64,600.0,2.88,10:01:52
92.6,19.6,64.0,24.9,99.9,19.9,32.13,600.0,2.88,10:01:59
92.6,19.5,64.0,24.8,99.9,19.9,32.62,600.0,2.88,10:02:06
92.6,19.5,63.9,24.8,99.9,19.9,31.15,600.0,2.88,10:02:15
92.6,19.5,63.9,24.7,99.9,19.9,32.13,600.0,2.88,10:02:21
92.6,19.5,64.2,24.7,99.9,20.0,31.64,600.0,2.88,10:02:28
92.6,19.5,64.7,24.6,99.9,20.0,31.64,600.0,2.88,10:02:34
92.6,19.5,65.1,24.6,99.9,20.0,32.13,600.0,2.88,10:02:41
92.5,19.5,64.6,24.5,99.9,20.0,32.13,600.0,2.88,10:02:48
92.6,19.5,64.3,24.5,99.9,20.0,32.13,600.0,2.88,10:02:54
92.5,19.6,65.0,24.4,99.9,20.0,31.15,600.0,2.88,10:03:01
92.5,19.5,64.9,24.4,99.9,20.0,32.13,600.0,2.88,10:03:07
92.5,19.5,64.5,24.3,99.9,20.0,31.64,600.0,2.88,10:03:14
92.5,19.5,65.6,24.3,99.9,20.0,32.62,600.0,2.88,10:03:21
92.5,19.5,65.5,24.2,99.9,20.0,32.13,600.0,2.88,10:03:27
92.5,19.5,64.6,24.2,99.9,20.0,32.13,600.0,2.88,10:03:34
92.5,19.5,65.2,24.2,99.9,20.0,32.62,600.0,2.88,10:03:40
92.5,19.5,66.1,24.0,99.9,20.0,31.64,600.0,2.88,10:03:47
92.5,19.5,65.8,24.0,99.9,20.0,31.15,600.0,2.88,10:03:54
92.5,19.5,66.4,24.0,99.9,20.0,32.62,600.0,2.88,10:04:00
92.5,19.5,67.2,23.9,99.9,20.0,30.67,600.0,2.88,10:04:07
92.5,19.5,66.9,23.9,99.9,20.0,31.15,600.0,2.88,10:04:16
92.4,19.5,66.9,23.8,99.9,20.0,32.13,600.0,2.88,10:04:22
92.4,19.5,66.6,23.8,99.9,20.0,32.13,600.0,2.88,10:04:29
92.4,19.5,66.0,23.7,99.9,20.0,32.13,600.0,2.88,10:04:36
92.5,19.5,66.2,23.6,99.9,20.0,32.62,600.0,2.88,10:04:42
92.4,19.5,66.1,23.6,99.9,20.0,32.13,600.0,2.88,10:04:49
92.4,19.5,66.2,23.6,99.9,20.0,32.13,600.0,2.88,10:04:55
92.3,19.5,66.2,23.6,99.9,20.0,33.1,600.0,2.88,10:05:02
92.4,19.5,66.9,23.5,99.9,20.0,32.13,600.0,2.88,10:05:09
92.3,19.5,66.9,23.5,99.9,20.0,32.62,600.0,2.88,10:05:15
92.4,19.5,66.8,23.5,99.9,20.0,31.64,600.0,2.88,10:05:22
92.4,19.5,66.6,23.4,99.9,20.0,31.64,600.0,2.88,10:05:28
92.3,19.5,66.6,23.4,99.9,20.0,32.13,600.0,2.88,10:05:35
92.3,19.5,66.3,23.3,99.9,20.0,31.64,600.0,2.88,10:05:44
92.3,19.5,66.5,23.3,99.9,20.0,32.62,600.0,2.88,10:05:53
92.3,19.5,66.8,23.3,99.9,20.0,32.13,600.0,2.88,10:06:00
92.3,19.5,66.8,23.2,99.9,20.0,32.62,600.0,2.88,10:06:06
92.3,19.5,67.0,23.2,99.9,20.0,31.15,600.0,2.88,10:06:13
92.3,19.5,67.3,23.2,99.9,20.0,32.62,600.0,2.88,10:06:19
92.3,19.5,67.8,23.1,99.9,20.0,33.1,600.0,2.88,10:06:26
92.3,19.5,67.8,23.1,99.9,20.0,31.15,600.0,2.88,10:06:33
92.3,19.5,68.0,23.1,99.9,20.0,32.62,600.0,2.88,10:06:39
92.3,19.5,67.8,23.1,99.9,20.0,31.15,600.0,2.88,10:06:46
92.2,19.5,67.6,23.0,99.9,20.0,32.13,600.0,2.88,10:06:52
92.2,19.5,67.5,23.0,99.9,20.0,31.64,600.0,2.88,10:06:59
92.2,19.5,67.4,22.9,99.9,20.0,31.15,600.0,2.88,10:07:06
92.2,19.5,66.5,22.9,99.9,20.1,31.64,600.0,2.88,10:07:12
92.2,19.5,67.1,22.9,99.9,20.0,32.62,600.0,2.88,10:07:19
92.2,19.5,67.0,22.8,99.9,20.1,32.62,600.0,2.88,10:07:25
92.2,19.5,67.4,22.8,99.9,20.0,32.62,600.0,2.88,10:07:32
92.2,19.5,67.7,22.8,99.9,20.0,32.62,600.0,2.88,10:07:38
92.2,19.5,68.5,22.7,99.9,20.1,31.64,600.0,2.88,10:07:45
92.2,19.5,68.7,22.7,99.9,20.1,32.13,600.0,2.88,10:07:52
92.2,19.5,68.9,22.7,99.9,20.1,32.13,600.0,2.88,10:07:58
92.2,19.5,69.2,22.6,99.9,20.1,32.13,600.0,2.88,10:08:05
92.2,19.5,69.6,22.6,99.9,20.1,32.62,600.0,2.88,10:08:11
92.2,19.5,69.9,22.5,99.9,20.1,32.13,600.0,2.88,10:08:18
92.2,19.5,70.6,22.5,99.9,20.0,32.13,600.0,2.88,10:08:25
92.2,19.5,70.7,22.5,99.9,20.1,31.64,600.0,2.88,10:08:31
92.2,19.5,70.5,22.5,99.9,20.1,32.62,600.0,2.88,10:08:38
92.2,19.5,70.3,22.5,99.9,20.1,32.13,600.0,2.88,10:08:44
92.2,19.5,70.1,22.4,99.9,20.1,31.64,600.0,2.88,10:08:51
92.1,19.5,69.9,22.5,99.9,20.1,32.13,600.0,2.88,10:09:00
92.1,19.5,70.0,22.3,99.9,20.1,32.62,1800.0,2.88,10:09:07
92.1,19.5,70.1,22.4,99.9,20.1,32.62,600.0,2.88,10:09:16
92.1,19.5,69.9,22.3,99.9,20.1,32.62,600.0,2.88,10:09:22
92.1,19.5,69.7,22.3,99.9,20.1,33.59,600.0,2.88,10:09:29
92.1,19.5,69.3,22.3,99.9,20.1,31.15,600.0,2.88,10:09:36
92.1,19.5,69.4,22.3,99.9,20.1,31.64,600.0,2.88,10:09:42
92.1,19.5,69.9,22.2,99.9,20.1,31.64,600.0,2.88,10:09:49
92.1,19.5,70.8,22.2,99.9,20.1,32.13,600.0,2.88,10:09:55
92.1,19.5,71.2,22.2,99.9,20.1,32.13,600.0,2.88,10:10:02
92.1,19.5,71.4,22.2,99.9,20.1,31.64,600.0,2.88,10:10:08
92.0,19.5,71.2,22.2,99.9,20.1,31.64,600.0,2.88,10:10:15
92.1,19.5,70.7,22.1,99.9,20.1,31.15,600.0,2.88,10:10:22
92.1,19.5,70.2,22.1,99.9,20.1,32.62,600.0,2.88,10:10:28
92.1,19.5,70.2,22.1,99.9,20.1,31.64,600.0,2.88,10:10:35
92.1,19.5,70.0,22.1,99.9,20.1,32.62,600.0,2.88,10:10:41
92.1,19.5,69.7,22.1,99.9,20.1,32.62,600.0,2.88,10:10:48
92.1,19.5,70.2,22.1,99.9,20.1,31.64,600.0,2.88,10:10:55
92.1,19.5,71.0,22.0,99.9,20.1,33.1,600.0,2.88,10:11:01
92.1,19.5,71.1,22.0,99.9,20.1,32.13,600.0,2.88,10:11:08
92.0,19.5,71.4,22.0,99.9,20.1,32.62,600.0,2.88,10:11:14
92.1,19.5,71.5,22.0,99.9,20.1,31.64,600.0,2.88,10:11:21
92.1,19.5,71.6,22.0,99.9,20.1,31.64,600.0,2.88,10:11:27
92.1,19.5,71.1,22.0,99.9,20.1,32.13,600.0,2.88,10:11:34
92.1,19.5,69.8,22.0,99.9,20.1,32.13,600.0,2.88,10:11:41
92.0,19.5,68.5,21.9,99.9,20.1,32.13,600.0,2.88,10:11:47
92.0,19.5,68.2,21.9,99.9,20.1,32.13,600.0,2.88,10:11:54
92.1,19.5,69.0,21.9,99.9,20.1,32.13,600.0,2.88,10:12:00
92.0,19.5,70.2,21.9,99.9,20.1,31.64,600.0,2.88,10:12:07
