indoorHumid,indoorTemp,outsideHumid,outsideTemp,boxHumid,boxTemp,cpuTemp,cpuFreq,storageUsed,time
31.64,600.0,2.88,08:44:44
30.18,600.0,2.88,08:45:03
29.69,600.0,2.88,08:45:25
84.3,16.8,73.1,18.8,91.9,18.0,30.18,600.0,2.88,08:45:47
84.3,16.8,72.1,18.9,92.0,18.0,30.67,600.0,2.88,08:46:00
84.3,16.9,73.1,18.9,92.1,18.0,30.67,600.0,2.88,08:46:07
84.3,16.9,72.5,19.0,92.2,18.0,30.67,600.0,2.88,08:46:16
84.3,16.9,72.3,19.0,92.2,18.0,30.18,600.0,2.88,08:46:23
84.3,16.9,72.1,19.1,92.2,18.0,30.67,600.0,2.88,08:46:29
84.3,16.9,71.5,19.1,92.3,18.0,29.69,600.0,2.88,08:46:36
84.3,16.9,71.7,19.1,92.3,18.0,30.18,600.0,2.88,08:46:42
84.3,16.9,72.0,19.2,92.4,18.0,30.18,600.0,2.88,08:46:49
84.3,16.9,71.5,19.2,92.4,18.0,29.69,600.0,2.88,08:46:56
84.3,16.9,71.7,19.2,92.4,18.0,30.18,600.0,2.88,08:47:02
84.3,16.9,71.0,19.2,92.4,18.0,30.67,600.0,2.88,08:47:09
84.3,16.9,70.4,19.3,92.5,18.0,30.18,600.0,2.88,08:47:15
84.3,16.9,71.4,19.3,92.5,18.0,30.67,600.0,2.88,08:47:22
84.3,16.9,72.0,19.3,92.6,18.0,31.15,600.0,2.88,08:47:29
84.3,16.9,72.2,19.3,92.6,18.0,30.18,600.0,2.88,08:47:38
84.3,17.0,72.2,19.3,92.6,18.0,30.67,600.0,2.88,08:47:44
84.3,17.0,69.8,19.3,92.6,18.0,30.67,600.0,2.88,08:47:51
84.2,17.0,69.3,19.3,92.7,18.0,31.15,600.0,2.88,08:47:57
84.3,17.0,69.8,19.3,92.7,18.0,30.67,600.0,2.88,08:48:04
84.3,17.0,70.0,19.3,92.7,18.1,31.15,600.0,2.88,08:48:11
84.2,17.0,70.1,19.4,92.7,18.1,30.18,600.0,2.88,08:48:17
84.2,17.0,69.6,19.3,92.7,18.1,30.18,600.0,2.88,08:48:24
84.2,17.0,69.5,19.4,92.8,18.1,30.18,600.0,2.88,08:48:30
84.2,17.0,71.5,19.4,92.8,18.1,30.18,600.0,2.88,08:48:37
84.2,17.0,71.4,19.4,92.8,18.1,30.18,600.0,2.88,08:48:44
84.2,17.0,69.6,19.4,92.8,18.1,29.69,600.0,2.88,08:48:55
84.2,17.0,69.8,19.4,92.9,18.1,30.18,600.0,2.88,08:49:04
84.2,17.0,71.1,19.4,92.9,18.1,30.18,600.0,2.88,08:49:11
84.2,17.0,71.6,19.4,92.9,18.1,30.67,600.0,2.88,08:49:17
84.2,17.0,71.5,19.4,92.9,18.1,29.69,600.0,2.88,08:49:24
84.2,17.0,71.2,19.4,92.9,18.1,30.18,600.0,2.88,08:49:31
84.2,17.0,71.2,19.4,93.0,18.1,31.15,600.0,2.88,08:49:37
84.2,17.0,70.2,19.4,93.0,18.1,31.15,600.0,2.88,08:49:44
84.2,17.0,70.2,19.4,93.0,18.1,30.18,600.0,2.88,08:49:50
84.2,17.0,71.0,19.4,93.0,18.1,31.15,600.0,2.88,08:49:57
84.2,17.0,70.0,19.4,93.0,18.1,30.18,600.0,2.88,08:50:04
84.2,17.0,68.9,19.4,93.0,18.1,30.67,600.0,2.88,08:50:10
84.1,17.0,68.6,19.4,93.0,18.1,30.18,600.0,2.88,08:50:17
84.1,17.0,69.1,19.4,93.0,18.1,31.15,600.0,2.88,08:50:23
84.2,17.0,69.2,19.4,93.1,18.1,30.67,600.0,2.88,08:50:30
84.1,17.0,69.4,19.4,93.1,18.1,30.67,600.0,2.88,08:50:36
84.1,17.0,70.5,19.4,93.1,18.2,30.18,600.0,2.88,08:50:43
84.1,17.0,70.3,19.4,93.2,18.2,30.67,600.0,2.88,08:50:50
84.2,17.1,69.8,19.3,93.2,18.2,30.18,600.0,2.88,08:50:56
84.2,17.1,70.2,19.4,93.2,18.2,30.18,600.0,2.88,08:51:03
84.2,17.1,69.7,19.3,93.2,18.2,30.67,600.0,2.88,08:51:09
84.2,17.1,69.5,19.4,93.2,18.2,29.69,600.0,2.88,08:51:16
84.1,17.1,69.8,19.4,93.2,18.2,31.15,600.0,2.88,08:51:23
84.2,17.1,70.9,19.4,93.2,18.2,29.21,600.0,2.88,08:51:29
84.2,17.1,70.7,19.4,93.2,18.2,30.67,600.0,2.88,08:51:36
84.1,17.1,70.4,19.4,93.2,18.2,30.67,600.0,2.88,08:51:42
